date,close,high,low,open,volume
2025-01-02,433.4523010253906,433.4523010253906,423.9882769855349,422.0954721775638,1242177
2025-01-03,438.184326171875,440.07713103654834,434.3987164425284,433.4523140101917,2385850
2025-01-07,440.0771179199219,440.0771179199219,430.6130938786332,438.18431311166415,1979583
2025-01-08,438.184326171875,442.9163383335583,435.345118874865,440.07713103654834,564204
2025-01-09,435.3451232910156,439.1307330587636,435.3451232910156,438.1843306168266,3706319
2025-01-10,433.4523010253906,439.13071544930403,430.6130938134339,435.3451058333618,578546
2025-01-13,442.91632080078125,442.91632080078125,432.50589445717316,433.45229685204663,1136140
2025-01-14,437.2378845214844,437.2378845214844,437.2378845214844,442.91629860617894,621986
2025-01-15,447.6483459472656,447.6483459472656,441.02352898821516,437.2379192973292,13140164
2025-01-16,450.4875183105469,452.38032300933065,445.75550656358735,447.6483112623711,2286281
2025-01-17,450.4875183105469,451.43392065993874,441.0234948166278,450.4875183105469,1118641
2025-01-20,453.32666015625,458.0586712225992,450.4874535164405,450.4874535164405,2802183
2025-01-21,453.32666015625,453.32666015625,453.32666015625,453.32666015625,0
2025-01-22,451.4339599609375,458.05877698342505,451.4339599609375,456.16597211985714,7370540
2025-01-23,455.2195739746094,455.2195739746094,443.8627446862615,451.4339642118268,1683055
2025-01-24,460.8979797363281,460.8979797363281,450.48755308930635,455.219565201589,3337744
2025-01-27,467.5227966308594,468.4691990531891,444.8091384949472,460.89797967455166,2803965
2025-01-28,491.2790222167969,494.1297708950375,474.17453014735327,469.4232823502856,35814171
2025-01-29,527.3884887695312,529.2889878281602,484.62725995038005,491.2790066555814,9722871
2025-01-30,551.144775390625,551.144775390625,522.6372870083513,527.3885350720636,8247526
2025-01-31,521.6869506835938,552.0949332371001,521.6869506835938,551.1446837823031,3329834
2025-02-03,508.3834533691406,522.6371950523875,498.88095891364264,521.6869456068378,2491907
2025-02-04,532.1398315429688,532.1398315429688,512.1845878601074,508.38358906337197,5201468
2025-02-05,528.3388061523438,533.0900544091094,523.587557895578,532.1398047577563,1403986
2025-02-06,517.8860473632812,527.3885436451764,515.0352984787128,528.3387932733658,1781659
2025-02-07,521.6869506835938,536.8909419603469,508.3834583164347,517.8859528644055,1518995
2025-02-10,524.537841796875,532.1398395040761,522.6373423700747,521.6870926566746,1106339
