Price,Close,High,Low,Open,Volume
Ticker,PFAVAL.CL,PFAVAL.CL,PFAVAL.CL,PFAVAL.CL,PFAVAL.CL
Date,,,,,
2025-01-02,433.4522705078125,433.4522705078125,423.98824713427945,422.09544245957284,1242177
2025-01-03,438.184326171875,440.07713103654834,434.3987164425284,433.4523140101917,2385850
2025-01-07,440.0771789550781,440.0771789550781,430.6131536012055,438.1843738843036,1979583
2025-01-08,438.184326171875,442.9163383335583,435.345118874865,440.07713103654834,564204
2025-01-09,435.3450927734375,439.1307022758152,435.3450927734375,438.18429990022076,3706319
2025-01-10,433.4522705078125,439.1306845319323,430.61306349575256,435.3450751825191,578546
2025-01-13,442.91632080078125,442.91632080078125,432.50589445717316,433.45229685204663,1136140
2025-01-14,437.2378845214844,437.2378845214844,437.2378845214844,442.91629860617894,621986
2025-01-15,447.6483459472656,447.6483459472656,441.02352898821516,437.2379192973292,13140164
2025-01-16,450.4874572753906,452.38026171772424,445.7554461695567,447.64825061189026,2286281
2025-01-17,450.4874572753906,451.43385949655743,441.0234350637228,450.4874572753906,1118641
2025-01-20,453.3267517089844,458.0587637309988,450.4875444957757,450.4875444957757,2802183
2025-01-21,453.3267517089844,453.3267517089844,453.3267517089844,453.3267517089844,0
2025-01-22,451.4339904785156,458.05880794885024,451.4339904785156,456.16600295732604,7370540
2025-01-23,455.2195129394531,455.2195129394531,443.8626851738119,451.4339036842394,1683055
2025-01-24,460.89794921875,460.89794921875,450.4875232610369,455.21953505999744,3337744
2025-01-27,467.5227966308594,468.4691990531891,444.8091384949472,460.89797967455166,2803965
2025-01-28,491.27899169921875,494.1297402003747,474.1745006922827,469.42325319035604,35814171
2025-01-29,527.3885498046875,529.289049083263,484.62731603673984,491.2790635117539,9722871
2025-01-30,551.1446533203125,551.1446533203125,522.6371712520205,527.3884182634025,8247526
2025-01-31,521.6871337890625,552.095127015383,521.6871337890625,551.1448772270605,3329834
2025-02-03,508.383544921875,522.637289172021,498.88104875511095,521.6870395553447,2491907
2025-02-04,532.1397094726562,532.1397094726562,512.1844703674317,508.38347244262695,5201468
2025-02-05,528.3388061523438,533.0900544091094,523.587557895578,532.1398047577563,1403986
2025-02-06,517.8860473632812,527.3885436451764,515.0352984787128,528.3387932733658,1781659
2025-02-07,521.6871337890625,536.8911304022228,508.3836367525472,517.8861346357724,1518995
2025-02-10,524.5377807617188,532.1397775843524,522.6372815560604,521.6870319532312,1106339
2025-02-11,551.1446533203125,551.1446533203125,528.3386676656788,524.5376700565732,3351404
2025-02-12,546.3933715820312,551.1446182914402,533.0898807956861,551.1446182914402,4065268
2025-02-13,541.6421508789062,544.4928990414268,539.7416521038925,546.3933978164405,3409262
2025-02-14,548.2940673828125,550.1945667498239,547.3438176993068,541.6423195982724,1841813
2025-02-17,555.89599609375,560.6472439236111,551.1447482638889,548.2939995659722,3114499
2025-02-18,569.199462890625,569.199462890625,555.8959696010278,555.8959696010278,2787515
2025-02-19,458.020263671875,458.020263671875,455.16951514279697,455.16951514279697,1944371
2025-02-20,612.9108276367188,612.9108276367188,590.1048433525617,592.9555913880814,2552446
2025-02-21,610.0601806640625,627.1646717107185,598.6571866329585,612.9109291718385,1258694
2025-02-24,614.8115234375,627.1647688852396,603.4085276395866,610.0602751883695,2938644
2025-02-25,614.8114624023438,624.3434230597445,614.8114624023438,616.7178545338239,2091713
2025-02-26,604.3263549804688,605.279551123971,588.1220205409294,614.8115125589942,2421142
2025-02-27,590.9816284179688,605.2795710409841,590.9816284179688,604.3263748661165,1467645
2025-02-28,558.5728759765625,580.4963847606256,558.5728759765625,590.9815411356122,4773182
2025-03-03,556.6665649414062,569.0581151883896,552.8537802500267,558.572957287096,1812456
2025-03-04,554.7600708007812,556.6664627966602,533.7897588461126,556.6664627966602,2652620
2025-03-05,576.68359375,605.2794744318182,556.6664772727273,554.7600852272727,2187719
2025-03-06,577.63671875,580.4963064665841,570.9643474113036,576.6835228444719,1796980
2025-03-07,577.63671875,579.5431105610561,570.9643474113036,577.63671875,1053304
2025-03-10,573.8240356445312,592.8879570945156,571.9176434995328,577.6368199345281,1286893
2025-03-11,559.5260620117188,559.5260620117188,552.8536898923286,573.8240022675549,1152922
2025-03-12,571.9176025390625,576.6835825602213,566.1984265136718,559.5260544840495,1685020
2025-03-13,562.3856201171875,572.870775746491,562.3856201171875,571.9175797801906,426615
2025-03-14,567.1516723632812,570.0112606272978,562.3856919232537,562.3856919232537,2942833
2025-03-17,563.3388671875,573.824023767978,562.3856711347293,567.1516513985829,6744756
2025-03-18,552.8536987304688,563.3388550857018,552.8536987304688,563.3388550857018,4334884
2025-03-19,547.1345825195312,562.385720708229,547.1345825195312,552.8537593402929,1654534
2025-03-20,533.7899169921875,550.9474500383649,533.7899169921875,547.1346649169922,3892505
2025-03-21,533.7899169921875,533.7899169921875,533.7899169921875,533.7899169921875,0
2025-03-24,533.7899169921875,533.7899169921875,533.7899169921875,533.7899169921875,0
2025-03-25,528.0706787109375,538.5558365914795,527.1174825399792,519.4919131723121,5024734
2025-03-26,530.9302368164062,573.8240620529202,521.3982756527365,528.0706484673053,4920863
2025-03-27,532.8365478515625,543.3217035337935,530.9301559093386,530.9301559093386,3327799
2025-03-28,527.1174926757812,538.5558469472268,520.4451193507714,532.836669811504,2363450
2025-03-31,538.8907470703125,539.8479242409525,521.6615579987928,529.3189753639126,1769276
2025-04-01,538.8907470703125,550.3768731179923,536.0192155583925,538.8907470703125,2798188
2025-04-02,539.847900390625,542.7194317756815,533.1476604921597,538.8907232622728,5511133
2025-04-03,544.6338500976562,544.6338500976562,528.3618370015927,539.8479638929317,1376493
2025-04-04,518.7900390625,537.933582939345,502.51802676718177,544.6338232962408,6600611
2025-04-07,518.7900390625,520.7043934501845,502.51802676718177,518.7900390625,1558971
2025-04-08,502.5180969238281,526.4475301106771,499.64656494140627,518.7901114908855,3358983
2025-04-09,526.4474487304688,526.4474487304688,494.8606018066406,502.5180192427202,5762438
2025-04-10,502.5180969238281,526.4475301106771,501.56091959635415,526.4475301106771,2507000
2025-04-11,512.0897827148438,516.8756685346086,489.1175307799723,502.518011075314,5266312
2025-04-14,516.8756103515625,522.6186726888021,516.8756103515625,512.0897250705295,896045
2025-04-15,516.8756103515625,516.8756103515625,514.9612562391493,516.8756103515625,267213
2025-04-16,536.9763793945312,538.8907336882729,508.2610649884066,516.875659310244,6401542
2025-04-17,536.9763793945312,536.9763793945312,536.9763793945312,536.9763793945312,0
2025-04-18,536.9763793945312,536.9763793945312,536.9763793945312,536.9763793945312,0
2025-04-21,533.147705078125,539.8479455369165,529.3189962445299,536.9764139117202,1096879
2025-04-22,545.5909423828125,553.2483591180098,530.2761089124177,533.1476401881167,8960890
2025-04-23,545.5909423828125,549.4196507504112,536.0191714638158,545.5909423828125,762768
2025-04-24,546.5482177734375,550.3769268296437,541.7623314531797,545.591040509386,1728672
2025-04-25,547.7974853515625,548.7585335714775,542.0311960320724,548.7585335714775,328290
2025-04-28,547.7974853515625,552.6027264511376,547.7974853515625,547.7974853515625,711635
2025-04-29,547.7974853515625,547.7974853515625,547.7974853515625,547.7974853515625,379554
2025-04-30,551.6415405273438,552.6025885073566,542.9921087072286,547.7973486072926,3229707
2025-05-01,551.6415405273438,551.6415405273438,551.6415405273438,551.6415405273438,0
2025-05-02,553.563720703125,557.4079132080078,552.6026725769043,551.6416244506836,989241
2025-05-05,555.48583984375,557.4079361753893,549.7195508488322,553.5637435121107,1468490
2025-05-06,551.6415405273438,552.6025885073566,542.9921087072286,547.7973486072926,3229707
2025-05-07,565.096435546875,565.096435546875,557.4080486686862,557.4080486686862,1891375
2025-05-08,576.6288452148438,576.6288452148438,563.1741721598307,565.0962683105469,6300840
2025-05-09,573.745849609375,575.6679462579826,567.9795596635521,576.6289945822864,1260884
2025-05-12,573.745849609375,562.2132697177293,576.6289945822864,573.745849609375,1889755
2025-05-13,576.6288452148438,573.7457009887695,581.4340855916341,573.7457009887695,1664656
2025-05-14,573.745849609375,573.745849609375,584.3173811767169,576.6289945822864,925432
2025-05-15,576.6288452148438,576.6288452148438,567.018364461263,573.7457009887695,2037755
2025-05-16,574.7068481445312,576.62894462662,573.7457999034868,576.62894462662,953007
2025-05-19,572.7847290039062,572.7847290039062,560.2911023645593,574.7068254099596,977219
2025-05-20,572.7847290039062,572.7847290039062,567.9794879887728,572.7847290039062,879696
2025-05-21,561.252197265625,572.784776661494,557.4080041336687,572.784776661494,1593166
2025-05-22,562.2132568359375,562.2132568359375,557.4080153245193,561.2522085336539,1287723
2025-05-23,562.2132568359375,567.0184983473558,560.2911602313702,562.2132568359375,1922212
2025-05-26,563.1741943359375,567.0183867887425,562.2131462227362,562.2131462227362,1063587
2025-05-27,564.4285888671875,568.2879296457666,563.4637536725428,565.3934240618323,1215229
2025-05-28,564.4285888671875,568.2879296457666,563.4637536725428,564.4285888671875,1132287
2025-05-29,550.9208374023438,564.4285286871648,550.9208374023438,564.4285286871648,1028748
2025-05-30,561.5340576171875,561.5340576171875,559.6043873160975,550.9208709611926,2313856
2025-06-03,568.2879638671875,574.0769753836614,567.3231286144419,561.534117097968,1900305
2025-06-04,568.2879638671875,576.9714811418984,564.4286228562049,568.2879638671875,989211
2025-06-05,567.3230590820312,569.2527293510177,562.498883409565,568.2878942165245,363752
2025-06-06,559.6043701171875,565.3933808425377,559.6043701171875,567.323051084321,725642
2025-06-09,557.6746826171875,567.3230335275194,557.6746826171875,559.6043527992539,679281
2025-06-10,561.5340576171875,573.1120794237274,561.5340576171875,557.6747170150076,1692075
2025-06-11,558.6394653320312,567.3229803371923,555.7449603303108,561.5339703337517,1159880
