date,open,high,low,close,volume
2025-01-02,422.0954721775638,433.4523010253906,423.9882769855349,433.4523010253906,1242177
2025-01-03,433.4523140101917,440.07713103654834,434.3987164425284,438.184326171875,2385850
2025-01-07,438.1843434979839,440.0771484375,430.61312373991933,440.0771484375,1979583
2025-01-08,440.07713103654834,442.9163383335583,435.345118874865,438.184326171875,564204
2025-01-09,438.1843306168266,439.1307330587636,435.3451232910156,435.3451232910156,3706319
2025-01-10,435.3451058333618,439.13071544930403,430.6130938134339,433.4523010253906,578546
2025-01-13,433.45226698655347,442.9162902832031,432.50586465688855,442.9162902832031,1136140
2025-01-14,442.9163295200893,437.2379150390625,437.2379150390625,437.2379150390625,621986
2025-01-15,437.2378596815952,447.6482849121094,441.0234688563276,447.6482849121094,13140164
2025-01-16,447.6483112623711,452.38032300933065,445.75550656358735,450.4875183105469,2286281
2025-01-17,450.4875183105469,451.43392065993874,441.0234948166278,450.4875183105469,1118641
2025-01-20,450.48751416933067,458.0587328948656,450.48751416933067,453.32672119140625,2802183
2025-01-21,453.32672119140625,453.32672119140625,453.32672119140625,453.32672119140625,0
2025-01-22,456.16591044491946,458.0587150525747,451.43389892578125,451.43389892578125,7370540
2025-01-23,451.4339642118268,455.2195739746094,443.8627446862615,455.2195739746094,1683055
2025-01-24,455.2195049184059,460.8979187011719,450.48749343276756,460.8979187011719,3337744
2025-01-27,460.89788941912326,468.46910731512526,444.80905139011895,467.522705078125,2803965
2025-01-28,469.4233406701448,494.1298322843629,474.1745890574944,491.2790832519531,35814171
2025-01-29,491.2791203679265,529.2891103383657,484.62737212309963,527.3886108398438,9722871
2025-01-30,527.388476667733,551.1447143554688,522.6372291301858,551.1447143554688,8247526
2025-01-31,551.1446837823031,552.0949332371001,521.6869506835938,521.6869506835938,3329834
2025-02-03,521.6869769230067,522.6372264255988,498.88098886079877,508.38348388671875,2491907
2025-02-04,508.38353075299943,532.1397705078125,512.1845291137695,532.1397705078125,5201468
2025-02-05,532.1397432834982,533.0899928250759,523.5874974092991,528.3387451171875,1403986
2025-02-06,528.3386687392489,527.3884193350416,515.0351770803469,517.8859252929688,1781659
2025-02-07,517.8859528644055,536.8909419603469,508.3834583164347,521.6869506835938,1518995
2025-02-10,521.6869105463443,532.1396537449049,522.6371599280316,524.5376586914062,1106339
2025-02-11,524.5377281452047,551.1447143554688,528.3387261752424,551.1447143554688,3351404
2025-02-12,551.1448029891304,551.1448029891304,533.0900594429347,546.3935546875,4065268
2025-02-13,546.3935209575452,544.4930217542146,539.7417737458882,541.6422729492188,3409262
2025-02-14,541.6421990088821,550.1944442563909,547.3436958405546,548.2939453125,1841813
2025-02-17,548.2939995659722,560.6472439236111,551.1447482638889,555.89599609375,3114499
2025-02-18,555.8960292096529,569.1995239257812,555.8960292096529,569.1995239257812,2787515
2025-02-19,455.16951514279697,458.020263671875,455.16951514279697,458.020263671875,1944371
2025-02-20,592.9557685319768,612.9110107421875,590.1050196448039,612.9110107421875,2552446
2025-02-21,612.911051812573,627.1647972035631,598.6573064215829,610.060302734375,1258694
2025-02-24,610.0602146248914,627.1647066237201,603.408467736458,614.8114624023438,2938644
2025-02-25,616.7178545338239,624.3434230597445,614.8114624023438,614.8114624023438,2091713
2025-02-26,614.8113883707425,605.2794288611186,588.1219017437955,604.3262329101562,2421142
2025-02-27,604.3264372794858,605.2796335527973,590.981689453125,590.981689453125,1467645
2025-02-28,590.981476559167,580.4963213298915,558.5728149414062,558.5728149414062,4773182
2025-03-03,558.5728960429152,569.058052794574,552.8537196329195,556.66650390625,1812456
2025-03-04,556.6664627966602,556.6664627966602,533.7897588461126,554.7600708007812,2652620
2025-03-05,554.7601439420841,605.279538493511,556.6665361893079,576.6836547851562,2187719
2025-03-06,576.6837056477864,580.4964904785156,570.9645284016926,577.6369018554688,1796980
2025-03-07,577.6369018554688,579.5432942708333,570.9645284016926,577.6369018554688,1053304
2025-03-10,577.6368199345281,592.8879570945156,571.9176434995328,573.8240356445312,1286893
2025-03-11,573.8240022675549,559.5260620117188,552.8536898923286,559.5260620117188,1152922
2025-03-12,559.5261739095051,576.6837056477864,566.1985473632812,571.917724609375,1685020
2025-03-13,571.9175797801906,572.870775746491,562.3856201171875,562.3856201171875,426615
2025-03-14,562.3856919232537,570.0112606272978,562.3856919232537,567.1516723632812,2942833
2025-03-17,567.1517128468366,573.8240859391524,562.3857320666111,563.3389282226562,6744756
2025-03-18,563.3390416638605,563.3390416638605,552.8538818359375,552.8538818359375,4334884
