Price,Close,High,Low,Open,Volume
Ticker,PFAVAL.CL,PFAVAL.CL,PFAVAL.CL,PFAVAL.CL,PFAVAL.CL
Date,,,,,
2025-01-02,433.4523010253906,433.4523010253906,423.9882769855349,422.0954721775638,1242177
2025-01-03,438.184326171875,440.07713103654834,434.3987164425284,433.4523140101917,2385850
2025-01-07,440.0771179199219,440.0771179199219,430.6130938786332,438.18431311166415,1979583
2025-01-08,438.184326171875,442.9163383335583,435.345118874865,440.07713103654834,564204
2025-01-09,435.3450622558594,439.13067149286684,435.3450622558594,438.18426918361496,3706319
2025-01-10,433.4523010253906,439.13071544930403,430.6130938134339,435.3451058333618,578546
2025-01-13,442.91632080078125,442.91632080078125,432.50589445717316,433.45229685204663,1136140
2025-01-14,437.2379150390625,437.2379150390625,437.2379150390625,442.9163295200893,621986
2025-01-15,447.6483154296875,447.6483154296875,441.0234989222714,437.2378894894622,13140164
2025-01-16,450.487548828125,452.38035365513394,445.7555367606027,447.64834158761164,2286281
2025-01-17,450.487548828125,451.4339512416295,441.0235246930804,450.487548828125,1118641
2025-01-20,453.3267517089844,458.0587637309988,450.4875444957757,450.4875444957757,2802183
2025-01-21,453.3267517089844,453.3267517089844,453.3267517089844,453.3267517089844,0
2025-01-22,451.4339904785156,458.05880794885024,451.4339904785156,456.16600295732604,7370540
2025-01-23,455.21954345703125,455.21954345703125,443.8627149300367,451.4339339480331,1683055
2025-01-24,460.89794921875,460.89794921875,450.4875232610369,455.21953505999744,3337744
2025-01-27,467.52276611328125,468.4691684738345,444.80910946000444,460.8979495894088,2803965
2025-01-28,491.279052734375,494.1298015897002,474.17455960242387,469.42331151021517,35814171
2025-01-29,527.3884887695312,529.2889878281602,484.62725995038005,491.2790066555814,9722871
2025-01-30,551.1447143554688,551.1447143554688,522.6372291301858,527.388476667733,8247526
2025-01-31,521.68701171875,552.0949978298611,521.68701171875,551.1447482638889,3329834
2025-02-03,508.3835144042969,522.6372577988099,498.8810188079549,521.6870082391757,2491907
2025-02-04,532.1397094726562,532.1397094726562,512.1844703674317,508.38347244262695,5201468
2025-02-05,528.3388061523438,533.0900544091094,523.587557895578,532.1398047577563,1403986
2025-02-06,517.8860473632812,527.3885436451764,515.0352984787128,528.3387932733658,1781659
2025-02-07,521.68701171875,536.8910047743055,508.38351779513886,517.8860134548611,1518995
2025-02-10,524.5376586914062,532.1396537449049,522.6371599280316,521.6869105463443,1106339
2025-02-11,551.1447143554688,551.1447143554688,528.3387261752424,524.5377281452047,3351404
2025-02-12,546.3934326171875,551.144679857337,533.089940344769,551.144679857337,4065268
2025-02-13,541.6422119140625,544.4929603978208,539.7417129248903,546.3934593869928,3409262
2025-02-14,548.2940673828125,550.1945667498239,547.3438176993068,541.6423195982724,1841813
2025-02-17,555.89599609375,560.6472439236111,551.1447482638889,548.2939995659722,3114499
2025-02-18,569.1995239257812,569.1995239257812,555.8960292096529,555.8960292096529,2787515
2025-02-19,458.020263671875,458.020263671875,455.16951514279697,455.16951514279697,1944371
2025-02-20,612.9110107421875,612.9110107421875,590.1050196448039,592.9557685319768,2552446
2025-02-21,610.0602416992188,627.1647344571408,598.6572465272708,612.9109904922058,1258694
2025-02-24,614.8114013671875,627.1646443622005,603.4084078333293,610.0601540614133,2938644
2025-02-25,614.8115234375,624.3434850411821,614.8115234375,616.7179157582365,2091713
2025-02-26,604.3262939453125,605.2794899925449,588.1219611423625,614.8114504648684,2421142
2025-02-27,590.9815063476562,605.2794460173576,590.9815063476562,604.3262500393776,1467645
2025-02-28,558.5729370117188,580.4964481913596,558.5729370117188,590.9816057120573,4773182
2025-03-03,556.66650390625,569.058052794574,552.8537196329195,558.5728960429152,1812456
2025-03-04,554.7601318359375,556.6665240415592,533.7898175740979,556.6665240415592,2652620
2025-03-05,576.68359375,605.2794744318182,556.6664772727273,554.7600852272727,2187719
2025-03-06,577.6369018554688,580.4964904785156,570.9645284016926,576.6837056477864,1796980
2025-03-07,577.6369018554688,579.5432942708333,570.9645284016926,577.6369018554688,1053304
2025-03-10,573.823974609375,592.8878940316133,571.9175826671511,577.6367584938226,1286893
2025-03-11,559.526123046875,559.526123046875,552.8537501996381,573.8240648623829,1152922
2025-03-12,571.9177856445312,576.683767191569,566.198607788086,559.526233622233,1685020
2025-03-13,562.3855590820312,572.8707135733912,562.3855590820312,571.9175177105402,426615
2025-03-14,567.1517333984375,570.0113219701943,562.3857524455094,562.3857524455094,2942833
2025-03-17,563.3388671875,573.824023767978,562.3856711347293,567.1516513985829,6744756
2025-03-18,552.853759765625,563.3389172784214,552.853759765625,563.3389172784214,4334884
2025-03-19,547.1346435546875,562.3857834447136,547.1346435546875,552.8538210134474,1654534
2025-03-20,533.7898559570312,550.9473870413644,533.7898559570312,547.134602355957,3892505
2025-03-21,533.7898559570312,533.7898559570312,533.7898559570312,533.7898559570312,0
2025-03-24,533.7898559570312,533.7898559570312,533.7898559570312,533.7898559570312,0
2025-03-25,528.0706787109375,538.5558365914795,527.1174825399792,519.4919131723121,5024734
2025-03-26,530.93017578125,573.823996086737,521.398215713364,528.0705877608842,4920863
2025-03-27,532.8366088867188,543.3217657699995,530.9302167261222,530.9302167261222,3327799
2025-03-28,527.117431640625,538.5557845876186,520.445059088212,532.8366081141219,2363450
2025-03-31,538.8906860351562,539.8478630973857,521.661498915027,529.3189154128622,1769276
2025-04-01,538.8906860351562,550.3768107819092,536.019154848468,538.8906860351562,2798188
2025-04-02,539.847900390625,542.7194317756815,533.1476604921597,538.8907232622728,5511133
2025-04-03,544.6337280273438,544.6337280273438,528.3617185783721,539.8478428952933,1376493
2025-04-04,518.7901000976562,537.9336462267211,502.51808588795114,544.6338873718937,6600611
2025-04-07,518.7901000976562,520.7044547105627,502.51808588795114,518.7901000976562,1558971
2025-04-08,502.5179443359375,526.4473702566964,499.64641322544645,518.7899539620536,3358983
2025-04-09,526.4473876953125,526.4473876953125,494.86054443359376,502.51796098188925,5762438
2025-04-10,502.5179443359375,526.4473702566964,501.56076729910717,526.4473702566964,2507000
2025-04-11,512.08984375,516.8757301401869,489.1175890771028,502.51807096962614,5266312
2025-04-14,516.8756103515625,522.6186726888021,516.8756103515625,512.0897250705295,896045
2025-04-15,516.8756103515625,516.8756103515625,514.9612562391493,516.8756103515625,267213
2025-04-16,536.9761962890625,538.8905499300217,508.2608916746741,516.8754830589907,6401542
2025-04-17,536.9761962890625,536.9761962890625,536.9761962890625,536.9761962890625,0
2025-04-18,536.9761962890625,536.9761962890625,536.9761962890625,536.9761962890625,0
2025-04-21,533.1476440429688,539.8478837347117,529.3189356476871,536.9763524382504,1096879
2025-04-22,545.5910034179688,553.2484210097999,530.2761682343065,533.1476998312431,8960890
2025-04-23,545.5910034179688,549.4197122138843,536.0192314281799,545.5910034179688,762768
2025-04-24,546.5482177734375,550.3769268296437,541.7623314531797,545.591040509386,1728672
2025-04-25,547.7974853515625,548.7585335714775,542.0311960320724,548.7585335714775,328290
2025-04-28,547.7974853515625,552.6027264511376,547.7974853515625,547.7974853515625,711635
2025-04-29,547.7974853515625,547.7974853515625,547.7974853515625,547.7974853515625,379554
2025-04-30,551.6417236328125,552.6027719318243,542.9922889417057,547.7975304367651,3229707
2025-05-01,551.6417236328125,551.6417236328125,551.6417236328125,551.6417236328125,0
2025-05-02,553.5638427734375,557.4080361260309,552.6027944352892,551.6417460971409,989241
2025-05-05,555.4859008789062,557.4079974217399,549.7196112504055,553.5638043360726,1468490
2025-05-06,551.6417236328125,552.6027719318243,542.9922889417057,547.7975304367651,3229707
2025-05-07,565.096435546875,565.096435546875,557.4080486686862,557.4080486686862,1891375
2025-05-08,576.6289672851562,576.6289672851562,563.1742913818359,565.0963879394532,6300840
2025-05-09,573.7457275390625,575.6678237787244,567.9794388200769,576.6288718985553,1260884
2025-05-12,573.7457275390625,562.2131501010914,576.6288718985553,573.7457275390625,1889755
2025-05-13,576.6289672851562,573.7458224487305,581.4342086791993,573.7458224487305,1664656
2025-05-14,573.7457275390625,573.7457275390625,584.3172568572027,576.6288718985553,925432
2025-05-15,576.6289672851562,576.6289672851562,567.0184844970703,573.7458224487305,2037755
2025-05-16,574.7068481445312,576.62894462662,573.7457999034868,576.62894462662,953007
2025-05-19,572.7848510742188,572.7848510742188,560.2912217722643,574.7069478899041,977219
2025-05-20,572.7848510742188,572.7848510742188,567.9796090350055,572.7848510742188,879696
2025-05-21,561.2521362304688,572.7847143721907,557.4079435165614,572.7847143721907,1593166
2025-05-22,562.2132568359375,562.2132568359375,557.4080153245193,561.2522085336539,1287723
2025-05-23,562.2132568359375,567.0184983473558,560.2911602313702,562.2132568359375,1922212
2025-05-26,563.1741943359375,567.0183867887425,562.2131462227362,562.2131462227362,1063587
2025-05-27,564.4285888671875,568.2879296457666,563.4637536725428,565.3934240618323,1215229
2025-05-28,564.4285888671875,568.2879296457666,563.4637536725428,564.4285888671875,1132287
2025-05-29,550.9208984375,564.4285912188047,550.9208984375,564.4285912188047,1028748
2025-05-30,561.5340576171875,561.5340576171875,559.6043873160975,550.9208709611926,2313856
2025-06-03,568.2879028320312,574.0769137267548,567.3230676829106,561.5340567881871,1900305
2025-06-04,568.2879028320312,576.9714191741166,564.4285622355488,568.2879028320312,989211
2025-06-05,567.3231201171875,569.2527905937766,562.4989439257148,568.287955355482,363752
2025-06-06,559.6044311523438,565.3934425090921,559.6044311523438,567.3231129613416,725642
2025-06-09,557.6746826171875,567.3230335275194,557.6746826171875,559.6043527992539,679281
2025-06-10,561.5340576171875,573.1120794237274,561.5340576171875,557.6747170150076,1692075
2025-06-11,558.6396484375,567.3231662888601,555.7451424870467,561.5341543879534,1159880
